Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1831.836191
FDW14,OUT017,1558.224292
NCN55,OUT010,1882.726158
FDQ58,OUT017,2617.105634
FDY38,OUT027,5134.137719
FDH56,OUT046,1954.57957
FDL48,OUT018,593.9550897
FDC48,OUT027,2779.758404
FDN33,OUT045,1556.51901
FDA36,OUT017,3126.631977
FDT44,OUT017,2061.442008
FDQ56,OUT045,1397.266691
NCC54,OUT019,1875.725735
FDU11,OUT049,2062.418213
DRL59,OUT013,905.0148128
FDM24,OUT049,2557.32941
FDI57,OUT045,3324.379471
DRC12,OUT018,2750.041751
NCM42,OUT027,3184.992373
FDA46,OUT010,1124.356671
FDA31,OUT013,2836.201832
NCJ31,OUT035,3792.371773
FDG52,OUT046,772.3686
NCL19,OUT019,368.3984893
FDS10,OUT035,2913.86265
FDX22,OUT010,1450.217
NCF19,OUT035,815.910632
NCE06,OUT046,2530.702981
DRC27,OUT046,3865.894056
FDE21,OUT035,1959.93887
NCR42,OUT019,1374.273749
FDX51,OUT018,2869.127973
NCR06,OUT018,414.8959568
FDU31,OUT027,4978.236494
FDU59,OUT017,2759.821836
FDR03,OUT027,4755.817841
FDS49,OUT027,2781.58468
FDD48,OUT010,72.7314095
NCF18,OUT017,3146.096899
NCD43,OUT027,3089.637161
NCD54,OUT018,1978.456236
FDY19,OUT010,11.10961805
NCY54,OUT017,2847.758644
NCL19,OUT018,2023.515456
FDP23,OUT010,1540.539127
FDC26,OUT013,1849.553683
FDR14,OUT010,1083.534871
NCS41,OUT035,2952.779521
FDF41,OUT035,3929.332079
FDU34,OUT046,1987.001854
DRH11,OUT046,945.9942671
FDM03,OUT013,1737.492117
FDS31,OUT017,3094.39377
FDJ20,OUT017,2163.864214
FDV44,OUT027,4522.730882
FDG02,OUT049,3135.632509
FDA09,OUT013,2915.578028
FDT04,OUT013,646.4858633
FDL58,OUT019,2282.192611
FDE52,OUT045,1447.806234
FDW12,OUT035,2412.33404
FDL51,OUT017,3538.667197
NCY42,OUT027,3680.997902
FDR07,OUT017,1729.162489
FDN40,OUT045,2393.365039
FDB35,OUT027,2979.48375
FDA22,OUT017,2803.661742
NCL06,OUT046,4106.520129
FDI35,OUT013,2939.38135
NCW42,OUT045,3457.104543
NCX06,OUT049,2929.574661
FDC37,OUT027,3198.709027
FDZ14,OUT018,1682.695907
DRG49,OUT049,3949.039552
NCG06,OUT045,4003.726999
DRC36,OUT045,2768.6876
FDV21,OUT019,47.36541843
FDB53,OUT046,2327.974727
DRP47,OUT019,2056.357723
FDA14,OUT013,2296.738758
DRC24,OUT035,2463.974936
FDW21,OUT018,1394.620522
NCH29,OUT046,1573.872449
FDU58,OUT013,3069.148248
FDY27,OUT017,2925.788089
FDV56,OUT035,1883.787368
FDT59,OUT046,3664.637965
FDB23,OUT046,3644.679338
FDR49,OUT045,775.9400619
FDB03,OUT010,1865.434465
FDN39,OUT045,2663.253197
FDX02,OUT027,4933.360841
FDQ16,OUT027,3163.009271
FDU35,OUT018,1334.30268
NCT29,OUT013,1980.433409
FDZ27,OUT046,768.9617683
FDN57,OUT017,2375.249146
FDA03,OUT018,2039.678464
FDZ36,OUT045,2981.442604
NCU05,OUT013,1343.664102
FDT39,OUT018,2191.032728
FDK60,OUT017,1746.373909
FDZ25,OUT017,2910.768629
FDG12,OUT046,2016.620648
DRB01,OUT019,1104.559925
NCC43,OUT027,5365.934467
FDX13,OUT019,2059.576679
FDM22,OUT049,1015.681055
FDJ03,OUT027,2256.968273
FDU14,OUT018,3615.065324
FDB33,OUT010,659.9539823
FDP27,OUT046,3017.567614
FDO38,OUT010,646.6839107
FDE28,OUT027,5120.630966
FDO27,OUT035,1611.764346
DRL23,OUT027,3185.022769
FDS28,OUT046,941.1125071
FDX24,OUT013,1542.704455
FDZ02,OUT035,1606.800889
FDL46,OUT045,1853.347403
FDS60,OUT027,4298.135154
NCO06,OUT017,663.1338407
FDO16,OUT035,1411.058901
FDC60,OUT049,1548.520893
FDA48,OUT018,3198.547052
FDZ36,OUT027,4450.212025
FDK27,OUT045,1937.177767
FDW23,OUT018,383.3464688
FDM14,OUT018,1531.942783
FDM14,OUT013,1810.947402
FDW60,OUT018,2605.15452
FDE21,OUT013,1940.339571
NCM42,OUT035,1783.355771
FDY59,OUT010,384.7460272
DRI49,OUT049,1366.736571
FDT28,OUT019,483.1241154
FDQ22,OUT018,390.8888637
FDR60,OUT049,1330.339612
FDC50,OUT019,372.0627973
FDV24,OUT013,2447.471158
DRF48,OUT010,1057.288157
FDQ47,OUT046,654.271003
DRN36,OUT049,1645.657658
NCY06,OUT035,2070.69462
FDE52,OUT035,1500.612595
NCB54,OUT045,2015.98838
NCF31,OUT035,2449.776224
FDJ08,OUT027,4482.108013
NCC07,OUT017,1819.401465
NCD19,OUT027,2317.075714
FDL46,OUT049,1990.361124
FDM20,OUT045,3915.565397
NCI06,OUT010,917.6865713
DRM11,OUT035,4147.446978
NCH07,OUT018,2203.282535
FDS23,OUT013,2098.064917
FDO49,OUT018,598.7265117
FDS35,OUT049,1167.695221
DRK39,OUT045,1331.863296
DRI39,OUT049,1050.474509
FDV04,OUT017,2658.241299
NCN14,OUT035,2918.939556
FDH08,OUT013,3730.193951
FDS20,OUT046,2941.822487
FDV40,OUT049,1309.315548
FDZ48,OUT010,147.2934864
