,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1831.836190783343
1,FDW14,OUT017,1558.224291725141
2,NCN55,OUT010,1882.7261576814433
3,FDQ58,OUT017,2617.1056335335406
4,FDY38,OUT027,5134.137718923061
5,FDH56,OUT046,1954.5795699244882
6,FDL48,OUT018,593.9550896860537
7,FDC48,OUT027,2779.7584039999483
8,FDN33,OUT045,1556.5190104179437
9,FDA36,OUT017,3126.631977367619
10,FDT44,OUT017,2061.442008453716
11,FDQ56,OUT045,1397.2666907993166
12,NCC54,OUT019,1875.7257345001929
13,FDU11,OUT049,2062.4182126149817
14,DRL59,OUT013,905.0148127599442
15,FDM24,OUT049,2557.3294100765675
16,FDI57,OUT045,3324.3794714959513
17,DRC12,OUT018,2750.0417508363994
18,NCM42,OUT027,3184.9923733611085
19,FDA46,OUT010,1124.356671064365
20,FDA31,OUT013,2836.201832284127
21,NCJ31,OUT035,3792.371773368705
22,FDG52,OUT046,772.3686000151702
23,NCL19,OUT019,368.39848934805633
24,FDS10,OUT035,2913.8626502603474
25,FDX22,OUT010,1450.2169995507124
26,NCF19,OUT035,815.9106320126386
27,NCE06,OUT046,2530.7029806574014
28,DRC27,OUT046,3865.894056143169
29,FDE21,OUT035,1959.9388704626185
30,NCR42,OUT019,1374.2737493970835
31,FDX51,OUT018,2869.1279731289815
32,NCR06,OUT018,414.89595678297064
33,FDU31,OUT027,4978.236493869601
34,FDU59,OUT017,2759.821835730214
35,FDR03,OUT027,4755.817841499871
36,FDS49,OUT027,2781.5846796052724
37,FDD48,OUT010,72.73140949839024
38,NCF18,OUT017,3146.0968992022126
39,NCD43,OUT027,3089.637161051875
40,NCD54,OUT018,1978.4562362677827
41,FDY19,OUT010,11.109618045967181
42,NCY54,OUT017,2847.758643548649
43,NCL19,OUT018,2023.5154559334296
44,FDP23,OUT010,1540.5391267162595
45,FDC26,OUT013,1849.5536827913288
46,FDR14,OUT010,1083.5348709882887
47,NCS41,OUT035,2952.7795211091293
48,FDF41,OUT035,3929.332078954765
49,FDU34,OUT046,1987.001853625933
50,DRH11,OUT046,945.9942670978372
51,FDM03,OUT013,1737.4921169252138
52,FDS31,OUT017,3094.3937701332698
53,FDJ20,OUT017,2163.864214109969
54,FDV44,OUT027,4522.730882244502
55,FDG02,OUT049,3135.632508778466
56,FDA09,OUT013,2915.5780281767907
57,FDT04,OUT013,646.4858633379173
58,FDL58,OUT019,2282.192611487636
59,FDE52,OUT045,1447.8062344647592
60,FDW12,OUT035,2412.33403957644
61,FDL51,OUT017,3538.667197461756
62,NCY42,OUT027,3680.997902409001
63,FDR07,OUT017,1729.1624885677747
64,FDN40,OUT045,2393.3650394397446
65,FDB35,OUT027,2979.4837500843296
66,FDA22,OUT017,2803.6617424159676
67,NCL06,OUT046,4106.520128530632
68,FDI35,OUT013,2939.381349934266
69,NCW42,OUT045,3457.104542915166
70,NCX06,OUT049,2929.5746608966756
71,FDC37,OUT027,3198.709027306889
72,FDZ14,OUT018,1682.695906892178
73,DRG49,OUT049,3949.0395524730707
74,NCG06,OUT045,4003.726999208791
75,DRC36,OUT045,2768.687599880241
76,FDV21,OUT019,47.365418433228115
77,FDB53,OUT046,2327.974727072607
78,DRP47,OUT019,2056.357723187284
79,FDA14,OUT013,2296.738758257482
80,DRC24,OUT035,2463.9749356206657
81,FDW21,OUT018,1394.6205222508815
82,NCH29,OUT046,1573.872449270667
83,FDU58,OUT013,3069.148248322018
84,FDY27,OUT017,2925.7880887628266
85,FDV56,OUT035,1883.7873681323656
86,FDT59,OUT046,3664.6379647569775
87,FDB23,OUT046,3644.679338233139
88,FDR49,OUT045,775.9400618641205
89,FDB03,OUT010,1865.4344653164508
90,FDN39,OUT045,2663.2531970599825
91,FDX02,OUT027,4933.360840990064
92,FDQ16,OUT027,3163.0092710592376
93,FDU35,OUT018,1334.3026800116463
94,NCT29,OUT013,1980.4334091330152
95,FDZ27,OUT046,768.9617683462924
96,FDN57,OUT017,2375.2491462825974
97,FDA03,OUT018,2039.6784635769714
98,FDZ36,OUT045,2981.4426042574437
99,NCU05,OUT013,1343.6641024714368
100,FDT39,OUT018,2191.032727583949
101,FDK60,OUT017,1746.373908830817
102,FDZ25,OUT017,2910.7686286581393
103,FDG12,OUT046,2016.6206483885853
104,DRB01,OUT019,1104.5599247949642
105,NCC43,OUT027,5365.934467305227
106,FDX13,OUT019,2059.5766787646635
107,FDM22,OUT049,1015.6810550584833
108,FDJ03,OUT027,2256.9682731025223
109,FDU14,OUT018,3615.065324130807
110,FDB33,OUT010,659.9539822683727
111,FDP27,OUT046,3017.567614236855
112,FDO38,OUT010,646.6839107179817
113,FDE28,OUT027,5120.630966010012
114,FDO27,OUT035,1611.7643456471264
115,DRL23,OUT027,3185.0227692992094
116,FDS28,OUT046,941.1125070663354
117,FDX24,OUT013,1542.7044551107083
118,FDZ02,OUT035,1606.800888682876
119,FDL46,OUT045,1853.3474026004649
120,FDS60,OUT027,4298.1351536135735
121,NCO06,OUT017,663.133840686802
122,FDO16,OUT035,1411.0589005132517
123,FDC60,OUT049,1548.5208931316447
124,FDA48,OUT018,3198.547051545127
125,FDZ36,OUT027,4450.212024504678
126,FDK27,OUT045,1937.1777665800998
127,FDW23,OUT018,383.3464687609299
128,FDM14,OUT018,1531.9427832382898
129,FDM14,OUT013,1810.9474022621835
130,FDW60,OUT018,2605.154519993134
131,FDE21,OUT013,1940.339570727761
132,NCM42,OUT035,1783.355770655799
133,FDY59,OUT010,384.7460272276385
134,DRI49,OUT049,1366.7365706421217
135,FDT28,OUT019,483.1241153598209
136,FDQ22,OUT018,390.8888636579407
137,FDR60,OUT049,1330.3396117002114
138,FDC50,OUT019,372.0627972636148
139,FDV24,OUT013,2447.4711577988255
140,DRF48,OUT010,1057.288156548528
141,FDQ47,OUT046,654.2710029517658
142,DRN36,OUT049,1645.6576576175853
143,NCY06,OUT035,2070.6946202783597
144,FDE52,OUT035,1500.6125945869737
145,NCB54,OUT045,2015.9883803062455
146,NCF31,OUT035,2449.776223825638
147,FDJ08,OUT027,4482.108012905822
148,NCC07,OUT017,1819.4014645971984
149,NCD19,OUT027,2317.0757141913937
150,FDL46,OUT049,1990.361124015438
151,FDM20,OUT045,3915.5653969490227
152,NCI06,OUT010,917.6865713434302
153,DRM11,OUT035,4147.446977962973
154,NCH07,OUT018,2203.282534770072
155,FDS23,OUT013,2098.0649165966897
156,FDO49,OUT018,598.7265116982747
157,FDS35,OUT049,1167.6952211579655
158,DRK39,OUT045,1331.8632961777357
159,DRI39,OUT049,1050.4745085779982
160,FDV04,OUT017,2658.2412986297986
161,NCN14,OUT035,2918.939555997632
162,FDH08,OUT013,3730.193951289813
163,FDS20,OUT046,2941.822486619725
164,FDV40,OUT049,1309.3155484640245
165,FDZ48,OUT010,147.29348635356325
166,FDS24,OUT027,2912.3787527654613
167,FDK44,OUT049,2884.6137239925374
168,FDS48,OUT045,2384.570942939355
169,FDK26,OUT010,1132.9595749782684
170,FDD23,OUT045,3051.6859442338173
171,NCH54,OUT017,2674.5762734908276
172,NCP14,OUT010,255.62801543889623
173,FDM60,OUT010,1200.0418510839775
174,FDV24,OUT017,2550.7866716566987
175,FDH08,OUT018,3385.7596573745586
176,FDS12,OUT027,3470.55268065212
177,FDR39,OUT027,4316.501578995801
178,FDP12,OUT027,2120.657422064388
179,DRF60,OUT027,5166.170529255518
180,FDC09,OUT035,1784.2942288865577
181,FDF50,OUT018,2891.199623080244
182,FDG28,OUT035,3924.595580230265
183,NCE19,OUT017,1021.1875118590868
184,NCM53,OUT010,185.2900391780778
185,NCN18,OUT049,1846.640676980034
186,FDF32,OUT035,3234.7879353457242
187,FDF11,OUT013,3894.637936072154
188,DRI59,OUT049,3667.8194702176283
189,NCG54,OUT035,2705.50080545278
190,FDM44,OUT046,1673.4351970723133
191,FDT57,OUT018,3457.2243516343497
192,FDV24,OUT046,2407.286676566548
193,FDI50,OUT019,1784.1875736776426
194,FDS09,OUT035,932.8264437295836
195,NCC31,OUT027,3886.3679411346484
196,FDQ07,OUT019,1628.3315561488507
197,FDC22,OUT017,3206.1057167568947
198,FDZ56,OUT046,2731.1835125539283
199,FDZ40,OUT019,1024.1627048531136
200,FDS46,OUT027,3385.419915544742
201,DRD24,OUT045,2214.270392241449
202,FDV45,OUT017,3137.2884665975917
203,FDL26,OUT045,2492.5287166559447
204,FDA56,OUT018,1739.3632374042515
205,FDN27,OUT046,1899.886325988754
206,FDM20,OUT049,4006.7939119375046
207,FDO16,OUT017,1476.2073392651018
208,FDL03,OUT035,3200.143661094028
209,FDE58,OUT046,1869.0395261138456
210,FDI02,OUT027,3311.752170754028
211,NCC55,OUT019,1278.1964365782633
212,FDR03,OUT018,3038.0223015092347
213,FDB14,OUT017,1697.5393606048697
214,FDR45,OUT013,3839.032505865128
215,NCN07,OUT017,2206.876326059305
216,FDM51,OUT019,195.90718335360236
217,FDT52,OUT027,5339.456024694628
218,FDL26,OUT046,2482.4696549250666
219,NCZ42,OUT046,3753.85248595305
220,DRI47,OUT019,438.53659756071016
221,FDW40,OUT013,2291.5516378775724
222,FDN34,OUT046,2720.8003798272543
223,FDS01,OUT035,2921.757563827454
224,NCG55,OUT045,1820.0611680792279
225,FDC11,OUT035,1470.0971492282508
226,FDX35,OUT018,3353.8237516449717
227,NCB06,OUT046,2538.914031149699
228,FDR09,OUT019,2186.7907706587257
229,FDC53,OUT017,1695.8413125233083
230,FDY45,OUT013,4049.0006771769686
231,FDA22,OUT010,781.2056356218628
232,FDE02,OUT035,1606.0327944917854
233,FDW21,OUT045,1662.2326806858523
234,FDV34,OUT046,1247.4084985936606
235,FDS59,OUT049,1904.9322815994542
236,NCW17,OUT017,2188.499821332368
237,NCK54,OUT046,1853.0742531554738
238,FDG17,OUT019,1983.8619758857965
239,FDG35,OUT017,2954.2051053075743
240,FDD08,OUT010,1230.5727644860453
241,NCO07,OUT017,3480.743526953539
242,FDJ10,OUT010,364.77504288088244
243,FDW36,OUT017,1822.3776939994505
244,FDW21,OUT010,246.06265011654057
245,FDY19,OUT017,2068.860948278506
246,DRE03,OUT013,823.0487687761496
247,NCC55,OUT049,711.7841559863862
248,FDH52,OUT010,848.2026493938604
249,FDO09,OUT017,4339.43502129801
250,FDU43,OUT045,3842.9839684422595
251,FDX09,OUT010,855.085416039668
252,FDH40,OUT019,542.636400176289
253,FDW58,OUT017,1824.2942203620612
254,FDC47,OUT017,3715.4950075755296
255,NCR41,OUT035,1574.0056885187043
256,DRG49,OUT035,3893.4976115529
257,FDC52,OUT027,3881.7787337125656
258,FDY13,OUT046,1252.9479390444394
259,FDY35,OUT013,829.5165042938439
260,FDI35,OUT017,3058.3630341190847
261,NCU18,OUT049,2319.9204311095205
262,FDY33,OUT018,2271.583420121523
263,FDC15,OUT027,3884.7486070483874
264,FDU01,OUT049,3121.310999964593
265,NCU42,OUT046,2672.071814934274
266,NCV29,OUT018,2546.293161894451
267,NCY30,OUT017,3014.995013650913
268,FDQ46,OUT049,1884.0769661903523
269,FDG58,OUT027,3928.4767514382693
270,FDK33,OUT017,3519.661450226964
271,NCD07,OUT045,1811.2407934163891
272,NCX29,OUT027,3740.1123316313824
273,NCT42,OUT013,2372.907221129546
274,DRN59,OUT035,819.0740532006072
275,FDI44,OUT035,1356.8188592471722
276,FDA45,OUT049,2895.1699070485356
277,FDP31,OUT045,1112.8115559262778
278,FDY01,OUT046,1896.5389387365067
279,FDT09,OUT018,1889.7715501226262
280,DRH03,OUT027,2979.068980839877
281,FDA36,OUT018,2703.679015744117
282,NCF31,OUT017,2555.378563061039
283,FDG14,OUT049,2583.646339728857
284,FDG28,OUT027,5348.396042554288
285,FDU14,OUT049,4004.0384533092156
286,FDY47,OUT019,247.90838393306564
287,FDI56,OUT049,1587.7826050108956
288,DRD01,OUT013,983.3327076722975
289,FDM22,OUT046,940.3390292397926
290,FDH33,OUT013,722.6316183580351
291,DRZ24,OUT013,1904.9405629205767
292,NCQ38,OUT046,1684.1431122452836
293,FDO16,OUT027,2798.641427536977
294,FDU07,OUT027,3861.6364502524866
295,NCB07,OUT013,3073.8472191533624
296,FDU48,OUT045,2100.754622080678
297,NCM43,OUT045,2603.420286968215
298,FDR31,OUT010,466.84617031959397
299,DRK49,OUT018,398.492644157618
300,NCI30,OUT010,1910.3610606420411
301,DRD60,OUT017,2998.8660355203124
302,NCG19,OUT046,3663.2916453685443
303,FDH12,OUT035,1738.885147315456
304,FDM32,OUT035,1569.2335577879421
305,FDM27,OUT035,2559.05911060381
306,NCU53,OUT027,4078.938978592687
307,NCQ18,OUT046,1546.877772487022
308,FDS10,OUT013,2870.898957290487
309,FDB33,OUT027,3999.150312836966
310,FDI12,OUT013,1461.0314723351944
311,NCW42,OUT013,3498.119339499806
312,NCC06,OUT018,1750.2708583468655
313,FDW02,OUT017,2160.6135492597023
314,NCD43,OUT017,1798.525553325108
315,FDM57,OUT018,1101.1003468529627
316,FDA58,OUT017,3871.586076526513
317,FDK56,OUT046,2958.253867240499
318,FDP52,OUT045,3654.5442777000126
319,FDW20,OUT018,1744.6658932174564
320,FDS52,OUT049,1705.0062757240794
321,NCT29,OUT018,1635.9485781597405
322,NCL54,OUT013,2797.084765142785
323,FDC05,OUT045,3138.652981764595
324,FDF34,OUT035,3215.6115615955373
325,FDP03,OUT027,3487.838999356102
326,FDD32,OUT010,488.83026379325315
327,FDZ10,OUT045,2014.9713903268207
