CompTime,RUNDATE,REPORT,DOMAIN,AH_NAME,COMPLETETIME,SLA,Number_of_Records
0:45,18/10/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,18/10/21 0:45,1:30,1
0:50,18/10/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,18/10/21 0:50,1:30,1
0:58,18/10/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,18/10/21 0:58,2:30,1
0:45,17/10/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,17/10/21 0:45,1:30,1
0:47,17/10/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,17/10/21 0:47,1:30,1
1:00,17/10/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,17/10/21 1:00,2:30,1
0:45,16/10/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,16/10/21 0:45,1:30,1
0:45,16/10/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,16/10/21 0:45,1:30,1
1:01,16/10/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,16/10/21 1:01,2:30,1
0:39,15/10/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,15/10/21 0:39,1:30,1
0:45,15/10/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,15/10/21 0:45,1:30,1
0:57,15/10/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,15/10/21 0:57,2:30,1
0:45,14/10/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,14/10/21 0:45,1:30,1
0:48,14/10/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,14/10/21 0:48,1:30,1
1:58,14/10/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,14/10/21 1:58,2:30,1
0:46,13/10/21,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,13/10/21 0:46,1:30,1
0:47,13/10/21,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,13/10/21 0:47,1:30,1
0:54,13/10/21,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,13/10/21 0:54,2:30,1
0:44,12/10/2021,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,12/10/2021 0:44,1:30,1
0:46,12/10/2021,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,12/10/2021 0:46,1:30,1
0:53,12/10/2021,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,12/10/2021 0:53,2:30,1
0:44,11/10/2021,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,11/10/2021 0:44,1:30,1
0:45,11/10/2021,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,11/10/2021 0:45,1:30,1
0:56,11/10/2021,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,11/10/2021 0:56,2:30,1
0:44,10/10/2021,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,10/10/2021 0:44,1:30,1
0:55,10/10/2021,Sales PO Shipment (01:30),MP,JB.GECSC.CMD.SLACK.SALES.PO.SHPMNT.END.BQ,10/10/2021 0:55,1:30,1
1:04,10/10/2021,MP Commissions (02:30),MP,JB.GECFINANCE.GECFINANCE.CMD.SLACK.SOCD.END,10/10/2021 1:04,2:30,1
0:48,9/10/2021,Pre-Orders Core (01:30),MP,JB.GECORDER.ORDER.US.SET.DATE.PARAM.SALES.ORDER.PG.DAILY.BQ,9/10/2021 0:48,1:30,1
